macro,value,source_file
VrHsStringDescFiveLoad,4.47,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFiveMean,1027.97,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFivePFifty,1120.35,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFivePNinetyNine,2469.34,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFourHundredCount,71929,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFourHundredLoad,2.93,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFourHundredMean,467.62,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFourHundredPFifty,453.31,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFourHundredPNinetyNine,970.54,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescHundredCount,18001,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescHundredLoad,2.63,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
