corpus,repo,path,git_blob_sha1,sha256,bytes,verdict_repo_level,repo_head_commit_at_manifest_time
counter_search,patilprashant48/sakhalas-admin,backend/src/routes/auth.routes.ts,09f976c34fd0744363ee44b00190098cdbdd7e7a,2d808ee25257aad7c0e645865d006f4a92055d2a27272686d362381c0d239851,3249,genuine,e7fae0ef9ae9a7c80f76b428b7dbd32bc4c9ddd0
counter_search,riao-project/riao-iam,src/jwt.ts,c59bf9021f578a6aac50ddc3d7ed4f65ed229311,60f087ed3c0d62652ff2bb89ec56d02600505cd0560f0c531a5aad1881084fe6,1874,,39dcbe4b919b359d4a060f44563a1db029f75b5c
counter_search,emilebilodeau/survey-creation-2,backend/src/middleware/auth.middleware.ts,7aa5f9ad2a330c2c648a477aed57ba3ad0a120a7,f9e83274f3d0e931db012df77629b84ba872ab5d3710d269ca3262008406c08c,977,genuine,4dfc8e113b70fea8d5370f63ae3b29f4ec57f07f
counter_search,FModel/api.fmodel.app,auth/middleware/jwt.middleware.ts,c9e3f977c3522918b4150d326384f8d2ffd3b79d,a43881e6e9caacbc243f1f157e2d3938dc6459e8eb659f0a55177d9681e8419d,1854,,e02dc3590a2867caaca9e08442021e9d1bad3306
counter_search,jsahleen/cldr-service,src/auth/middleware/jwt.middleware.ts,f95563a13fe0e23366e7e1a1e54e16121002ce7e,e303c8c5d92157add8a82bbdc406b1998e3bbdce7d2de3767ada9ea98dc63894,2253,,5bd45355d8e00e4a2ce84a1253d0c0c5a3bad613
counter_search,beraujjwal/tem,src/middlewares/jwt.middleware.ts,e4252be1664443b48a025bfc5b0c1af158c2cdd6,a6aa94384d2cdafa4872ef23a964634733ef2f9f24413c03902efd8cd2dd1cfb,2008,,677fe3edff1aeb1d30190c8ee59fae6d72da1273
counter_search,GITANSHU7/smart-farm,src/middleware/validator.ts,1369eec7652af11714528cb44006afb5eade7c3a,ba762d4ba228a7047f28504cb753914a84facd8d10f45095f27fd4ff71edf154,2088,,e9e4ffb06f007863d396bbae6db7182f9fc52a31
counter_search,arfan-ahmed-shohag/Met-Club-Backend-Deploy,src/utils/jwt.ts,bcd612dd1130e75e4fc92cc37d476638c79215b4,98d3abde71bf13ca59e0b36873ae48ad9f0da45e6f02dbff378c5253488c10e0,573,,606640a534e69a15ab05278fb97593c4890c75bf
counter_search,stephangrobler/budgelope,server/server/auth/middleware/jwt.middleware.ts,7631ca214e1e147a433089e6b7c8b33d10ff9813,65996c35cf2d3cd2ae6a37497de41710fa539196f52de918133edc06780b8316,1950,,e6bf796784be4088c323a3fcb27ded9cd3ef3930
counter_search,Kirill-Bokov/I-ll-give-you-the-stone,Code/Backend/src/user.ts,95c674b5ceb9699f41dc02cadd26d3a0aa62bd8d,88816cf695d4882fe995bb351bb70ca275c9ef361fb4818e013be75dcff9030c,2250,genuine,e3a50609d0f40845ec18438d5fb664f79eb72bfa
counter_search,brendapc/API-nodejs-typescript,src/services/auth.ts,069aea6d9dcc94b7e0c2f24351fe8d648204bff8,506ed7d27f46cd58e443b81ae2bd6b286ce7ea65d35582c1bc67cc8362a3e681,946,,183abdf4ae8bf850980200159144756c423303ee
counter_search,rajabmohammadi/user-management,app/users/middleware/users.middleware.ts,1dbc2bb02d97a73f71683c1fd3c84e5032c8c37d,e09f5bcb3b205d1a6d223643eff555b229f7fd6bf42d1415624a3752ecd9557d,4914,,d9a95055ba940246d08e0f23a83e9307dc33e4dd
counter_search,jcdev21/email-recording-api,src/main/helpers/Authentication.ts,6de74038f74cefec2b2efe2910e017c244184132,fe61e3b406399589b8898df6aa78af0f65a840976acdc0014fa3e4a3166a10a3,1297,,010a226d681b156ce57a27613a416aeac96c0034
counter_search,olad5/p2p-wallet-system,src/auth/middleware/jwt.middleware.ts,ca1fe382e1f0b28af28fcdc53250e8b748f669b1,04ffc010d9f6e60fbbb8f3bedd251bc5ae5fc5208e0d974e012e30a5fe7388ac,2204,,b971410046926e47797c20346d85760802719d4b
counter_search,valocracy/moonvilla,src/middlewares/jwt.middleware.ts,498fc6b9c0d8e7d87b86b178e32596d574fd1200,eadf7c01fa221f6b89eac82a99ec39be5d23a0a7387d2bc2d197b8bf86ced1b9,3462,,502043ae22442118f95fa9d8744b3148c00f9f52
counter_search,goodvandro/rest-api-node-mongo,auth/middleware/jwt.middleware.ts,178e59bbdf6631b9233172366b941a00dc027454,a9b30eaf6c850967775d98bb083e7050df8e88638a0c2372c76ef47a1a9cce27,2333,,4b847d0698351d6cbb17c39a86a883156cdd3351
counter_search,efcjunior/toptal-article-api,auth/middleware/jwt.middleware.ts,5437628e1561c012cbeee1ef7382ca847f571607,4d6e0153d4a0e1dac9f628a0e298a33003f063c876c79a8f1f3573a7ae5e132e,2332,,51bf868d43f598638aaa620db11fd734cc29e9e7
counter_search,FathurRohmna/Fullstack-Expressjs-Mongodb-Reactjs-Typescript,server/src/auth/middleware/jwt.middleware.ts,fc18931972ace158180008c24b0e6e6daf3a70d3,412e05d19c1958a9221c93c5202a697dbfcb4f6c4be9f98911bd9ea7260126e8,1941,unresolved,95309a35adca02b1cb9924d5f0e0c61d77e50981
counter_search,arfan-ahmed-shohag/project-thesis-automation-server,src/shared/jwtGenerator.ts,bcd612dd1130e75e4fc92cc37d476638c79215b4,98d3abde71bf13ca59e0b36873ae48ad9f0da45e6f02dbff378c5253488c10e0,573,,1bc3928410bbe6df359bcd36233b23d1a026676c
counter_search,daniellaera/node-typescript-rest,auth/middleware/jwt.middleware.ts,8730cee9c5dc2f2360d84986ed013d1b0fa3ca0b,212a3ebf61fe32d18ce51e9e38f0f2ace0495da3084ba34d922b0c6407fcfaaf,2496,,a69f33c992ccdcb0a8b29b49bc8dc044322947a7
counter_search,bashketchum02/typescript-boilerplate,auth/middleware/jwt.middleware.ts,901d1280b0945fd2827c105c0cf384a7b7afc713,9a67c3779ab00d1bdb7aa81990289d35264a8cfeb68f13236df77986e83931c4,2667,,0c41d2819d58332570de32bfc5240d921ec11554
counter_search,bashketchum02/barcamp-2021-api,auth/middleware/jwt.middleware.ts,b2f29b7ba97105335b6e3d772fc65af5d5bebf7d,861a5d44623379aff3f47391ff7b539a4de32437106e9fd562691008650e8194,3650,,071fa48d2f9976a55ceeed911877e0beb27a7ba6
counter_search,andresestrella/api-territorio-rd,src/auth/auth.middleware.ts,cd8a16b143c8e990d0ae4d8422fb965411e871bd,114cc7766f96fdbb042f7847a3f6554b65cd654f873dc542b541468e9a70e2a2,3451,,7507070c595e1cb9cdcb07f7b5efe4e6f1b05dea
counter_search,kpachhai/pathsports-restapi-backend,src/auth/middleware/jwt.middleware.ts,2895984a70d84cc156509594ac8fbb06d4ad6e59,b887f186247878f3b22ec6dc30c047b79a2ee43adb336db640b04ac4cccfde7c,2620,,090ec307dd796fcb29a9cbfb531fd436c3cd9802
counter_search,dunkmway/emlekezz,src/server/services/jwt.ts,8498cc844d5445e58ca8f2fed466c00b717ba97b,c07fd1f3b41e64f6030310b90dd20fd55500330613c7fef99f4176ad5fbd0055,3894,,79484566f13aaa923baca1d8e8fa0ea92d2c5688
counter_search,Linksku/leo-framework,framework/server/core/jwt.ts,a0a964e509401b78aa9ac0e932d7dc3bf2b6082e,383f0caa2725004c94276073c4b0eb74ac3ab1c872fa98c2cd5a703bee022f49,3544,,92f6fd958c5ddbe1b05ef6bd3924d0c447d723ce
counter_search,ThiagoBussola/teste-gazin,auth/middleware/jwt.middleware.ts,48ce623d654cb862bd84a819b30f08c7361a8d5f,fdbff42c9fc1489b7d6d583e5f93353f15b2c8cee29b828d49c2a33ead6140d8,2110,,6b225a49e42a70218964b7e155bb39405cd7933f
counter_search,david-dot-krupicka/products-review,products/auth/middleware/jwt.middleware.ts,f6913ac7135d2c919ecb6f8b14621600374aaa2c,1b42454d55c7717b3ea87d323bf0148ecb6a3bfad5b7f85de2a3b8637f01a9df,2430,,9e1ecdb5fc227d7c683f9a2bf39dccb86f318f47
counter_search,arfan-ahmed-shohag/STRIKERS-FC,football-club-server/src/lib/jwt.ts,1ba7bd87a3a9f14e9be2f17a896509b065286e40,e892f474804994e96ae25c2507a635a7154552c96c8bffc07d532b7c6595a57f,631,,821cf306052ef42f56c73ea16ac3b01fac72635d
