TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:09:25,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:09:30,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:09:30,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:09:36,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:09:36,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:09:41,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:09:41,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:09:46,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:09:46,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:09:51,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:09:51,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:09:56,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:09:56,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:10:01,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:10:01,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:17:00,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:17:00,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:17:05,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:17:05,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:17:10,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:17:10,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:17:15,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:17:15,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:17:20,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:17:20,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:17:25,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:17:25,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:17:30,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:17:30,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:17:35,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:17:35,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:17:40,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:17:40,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:17:46,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:17:46,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:17:51,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:17:51,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:17:56,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:17:56,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:18:01,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:18:01,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:18:06,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:18:06,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:18:11,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:18:11,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:18:16,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:18:16,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:18:21,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:18:21,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:18:27,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:18:27,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:18:32,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:18:32,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:18:37,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:18:37,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:18:42,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:18:42,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:18:47,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:18:47,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:18:52,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
